Date : 2022-06-03 20:53:00
Directory : h:\Masters\Masters
Total : 223 files,  36472 codes, 444 comments, 639 blanks, all 37555 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN4                                                                         |          3 |         44 |          0 |          2 |         46 |
| deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN5                                                                         |          3 |         44 |          0 |          2 |         46 |
| deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN6                                                                         |          3 |         44 |          0 |          2 |         46 |
| deep_sl\results\augmentation_ablation_study\discrete                                                                                      |         38 |        290 |          0 |         14 |        304 |
| deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN                                                                            |          6 |         42 |          0 |          2 |         44 |
| deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN2                                                                           |          6 |         42 |          0 |          2 |         44 |
| deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN3                                                                           |          6 |         42 |          0 |          2 |         44 |
| deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN4                                                                           |          6 |         42 |          0 |          2 |         44 |
| deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN5                                                                           |          6 |         42 |          0 |          2 |         44 |
| deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN6                                                                           |          6 |         42 |          0 |          2 |         44 |
| deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN_all                                                                        |          2 |         38 |          0 |          2 |         40 |
| deep_sl\results\network_architecture_study                                                                                                |         48 |     17,416 |          0 |         14 |     17,430 |
| deep_sl\results\network_architecture_study\continuous                                                                                     |         21 |      9,674 |          0 |          8 |      9,682 |
| deep_sl\results\network_architecture_study\continuous\CustomCNN                                                                           |          3 |         44 |          0 |          2 |         46 |
| deep_sl\results\network_architecture_study\continuous\CustomCNN2                                                                          |          3 |         44 |          0 |          2 |         46 |
| deep_sl\results\network_architecture_study\continuous\LR-Range-Test-CustomCNN                                                             |          3 |      3,470 |          0 |          0 |      3,470 |
| deep_sl\results\network_architecture_study\continuous\LR-Range-Test-NatureCNN                                                             |          3 |      2,542 |          0 |          0 |      2,542 |
| deep_sl\results\network_architecture_study\continuous\LR-Range-Test-NvidiaCNN                                                             |          3 |      3,486 |          0 |          0 |      3,486 |
| deep_sl\results\network_architecture_study\continuous\NatureCNN                                                                           |          3 |         44 |          0 |          2 |         46 |
| deep_sl\results\network_architecture_study\continuous\NvidiaCNN                                                                           |          3 |         44 |          0 |          2 |         46 |
| deep_sl\results\network_architecture_study\discrete                                                                                       |         27 |      7,742 |          0 |          6 |      7,748 |
| deep_sl\results\network_architecture_study\discrete\CustomCNN                                                                             |          6 |         48 |          0 |          2 |         50 |
| deep_sl\results\network_architecture_study\discrete\LR-Range-Test-CustomCNN                                                               |          3 |      2,386 |          0 |          0 |      2,386 |
| deep_sl\results\network_architecture_study\discrete\LR-Range-Test-NatureCNN                                                               |          3 |      2,770 |          0 |          0 |      2,770 |
| deep_sl\results\network_architecture_study\discrete\LR-Range-Test-NvidiaCNN                                                               |          3 |      2,442 |          0 |          0 |      2,442 |
| deep_sl\results\network_architecture_study\discrete\NatureCNN                                                                             |          6 |         48 |          0 |          2 |         50 |
| deep_sl\results\network_architecture_study\discrete\NvidiaCNN                                                                             |          6 |         48 |          0 |          2 |         50 |
| utils                                                                                                                                     |          8 |        469 |         84 |        128 |        681 |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                  | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| h:\Masters\Masters\.idea\Masters.iml                                                                                                      | XML      |         12 |          0 |          0 |         12 |
| h:\Masters\Masters\.idea\inspectionProfiles\profiles_settings.xml                                                                         | XML      |          6 |          0 |          0 |          6 |
| h:\Masters\Masters\.idea\misc.xml                                                                                                         | XML      |          7 |          0 |          0 |          7 |
| h:\Masters\Masters\.idea\modules.xml                                                                                                      | XML      |          8 |          0 |          0 |          8 |
| h:\Masters\Masters\.idea\workspace.xml                                                                                                    | XML      |        300 |          0 |          0 |        300 |
| h:\Masters\Masters\__init__.py                                                                                                            | Python   |          1 |          0 |          1 |          2 |
| h:\Masters\Masters\airsim_gym\car_agent.py                                                                                                | Python   |        161 |         16 |         47 |        224 |
| h:\Masters\Masters\airsim_gym\config.ini                                                                                                  | Ini      |         47 |          7 |          7 |         61 |
| h:\Masters\Masters\airsim_gym\gym.py                                                                                                      | Python   |        117 |         23 |         29 |        169 |
| h:\Masters\Masters\deep_rl\a2c\__init__.py                                                                                                | Python   |          0 |          0 |          1 |          1 |
| h:\Masters\Masters\deep_rl\a2c\a2c.py                                                                                                     | Python   |         32 |          2 |         11 |         45 |
| h:\Masters\Masters\deep_rl\ddqn\agent.py                                                                                                  | Python   |         41 |         14 |         15 |         70 |
| h:\Masters\Masters\deep_rl\ddqn\ddqn.py                                                                                                   | Python   |        225 |         43 |         40 |        308 |
| h:\Masters\Masters\deep_rl\ddqn\memory_buffer.py                                                                                          | Python   |         35 |         17 |         14 |         66 |
| h:\Masters\Masters\deep_rl\load_and_run.py                                                                                                | Python   |         68 |         27 |         25 |        120 |
| h:\Masters\Masters\deep_rl\main.py                                                                                                        | Python   |         78 |         38 |         22 |        138 |
| h:\Masters\Masters\deep_rl\ppo\__init__.py                                                                                                | Python   |          0 |          0 |          1 |          1 |
| h:\Masters\Masters\deep_rl\ppo\ppo.py                                                                                                     | Python   |         33 |          2 |         13 |         48 |
| h:\Masters\Masters\deep_rl\results\agent-model-structure-study\ddqn\CustomCNN\average-q-per-episode.json                                  | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\agent-model-structure-study\ddqn\CustomCNN\average-q-per-step.json                                     | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\agent-model-structure-study\ddqn\CustomCNN\average-reward-per-episode.json                             | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\agent-model-structure-study\ddqn\CustomCNN\average-reward-per-step.json                                | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\agent-model-structure-study\ddqn\CustomCNN\hyp.yaml                                                    | YAML     |         20 |          0 |          1 |         21 |
| h:\Masters\Masters\deep_rl\results\agent-model-structure-study\ddqn\CustomCNN\opt.yaml                                                    | YAML     |         23 |          0 |          1 |         24 |
| h:\Masters\Masters\deep_rl\results\agent-model-structure-study\ddqn\NatureCNN5\average-q-per-step.json                                    | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\agent-model-structure-study\ddqn\NatureCNN5\average-reward-per-episode.json                            | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\agent-model-structure-study\ddqn\NatureCNN5\hyp.yaml                                                   | YAML     |         19 |          0 |          1 |         20 |
| h:\Masters\Masters\deep_rl\results\agent-model-structure-study\ddqn\NatureCNN5\opt.yaml                                                   | YAML     |         30 |          0 |          1 |         31 |
| h:\Masters\Masters\deep_rl\results\agent-model-structure-study\ddqn\NvidiaCNN2\average-q-per-step.json                                    | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\agent-model-structure-study\ddqn\NvidiaCNN2\average-reward-per-episode.json                            | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\agent-model-structure-study\ddqn\NvidiaCNN2\hyp.yaml                                                   | YAML     |         19 |          0 |          1 |         20 |
| h:\Masters\Masters\deep_rl\results\agent-model-structure-study\ddqn\NvidiaCNN2\opt.yaml                                                   | YAML     |         30 |          0 |          1 |         31 |
| h:\Masters\Masters\deep_rl\results\multiple-spawn-location-study\ddqn2\average-q-per-episode.json                                         | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\multiple-spawn-location-study\ddqn2\average-q-per-step.json                                            | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\multiple-spawn-location-study\ddqn2\average-reward-per-episode.json                                    | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\multiple-spawn-location-study\ddqn2\average-reward-per-step.json                                       | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\multiple-spawn-location-study\ddqn2\hyp.yaml                                                           | YAML     |         20 |          0 |          1 |         21 |
| h:\Masters\Masters\deep_rl\results\multiple-spawn-location-study\ddqn2\opt.yaml                                                           | YAML     |         22 |          0 |          1 |         23 |
| h:\Masters\Masters\deep_rl\results\multiple-spawn-location-study\ddqn\average-q-per-episode.json                                          | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\multiple-spawn-location-study\ddqn\average-q-per-step.json                                             | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\multiple-spawn-location-study\ddqn\average-reward-per-episode.json                                     | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\multiple-spawn-location-study\ddqn\average-reward-per-step.json                                        | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\multiple-spawn-location-study\ddqn\hyp.yaml                                                            | YAML     |         20 |          0 |          1 |         21 |
| h:\Masters\Masters\deep_rl\results\multiple-spawn-location-study\ddqn\opt.yaml                                                            | YAML     |         22 |          0 |          1 |         23 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn2\average-q-per-episode.json                                        | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn2\average-q-per-step.json                                           | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn2\average-reward-per-episode.json                                   | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn2\average-reward-per-step.json                                      | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn2\hyp.yaml                                                          | YAML     |         20 |          0 |          1 |         21 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn2\opt.yaml                                                          | YAML     |         22 |          0 |          1 |         23 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn3\average-q-per-episode.json                                        | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn3\average-q-per-step.json                                           | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn3\average-reward-per-episode.json                                   | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn3\average-reward-per-step.json                                      | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn3\hyp.yaml                                                          | YAML     |         20 |          0 |          1 |         21 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn3\opt.yaml                                                          | YAML     |         22 |          0 |          1 |         23 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn4\average-q-per-episode.json                                        | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn4\average-q-per-step.json                                           | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn4\average-reward-per-episode.json                                   | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn4\average-reward-per-step.json                                      | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn4\hyp.yaml                                                          | YAML     |         20 |          0 |          1 |         21 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn4\opt.yaml                                                          | YAML     |         22 |          0 |          1 |         23 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn5\average-q-per-episode.json                                        | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn5\average-q-per-step.json                                           | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn5\average-reward-per-episode.json                                   | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn5\average-reward-per-step.json                                      | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn5\hyp.yaml                                                          | YAML     |         20 |          0 |          1 |         21 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn5\opt.yaml                                                          | YAML     |         22 |          0 |          1 |         23 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn6\average-q-per-episode.json                                        | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn6\average-q-per-step.json                                           | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn6\average-reward-per-episode.json                                   | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn6\average-reward-per-step.json                                      | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn6\hyp.yaml                                                          | YAML     |         20 |          0 |          1 |         21 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn6\opt.yaml                                                          | YAML     |         22 |          0 |          1 |         23 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn\average-q-per-episode.json                                         | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn\average-q-per-step.json                                            | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn\average-reward-per-episode.json                                    | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn\average-reward-per-step.json                                       | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn\hyp.yaml                                                           | YAML     |         19 |          0 |          1 |         20 |
| h:\Masters\Masters\deep_rl\results\reward-function-ablation-study\ddqn\opt.yaml                                                           | YAML     |         22 |          0 |          1 |         23 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\a2c\continuous\NatureCNN6\discounted_rewards.json                               | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\a2c\continuous\NatureCNN6\episode_rewards.json                                  | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\a2c\continuous\NatureCNN6\hyp.yaml                                              | YAML     |         19 |          0 |          1 |         20 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\a2c\continuous\NatureCNN6\opt.yaml                                              | YAML     |         30 |          0 |          1 |         31 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\a2c\discrete\avg-q-value-per-step.json                                          | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\a2c\discrete\episode-rewards.json                                               | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\a2c\discrete\hyp.yaml                                                           | YAML     |         18 |          0 |          1 |         19 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\a2c\discrete\opt.yaml                                                           | YAML     |         30 |          0 |          1 |         31 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\ddqn\avg-q-value-per-step.json                                                  | JSON     |      5,212 |          0 |          0 |      5,212 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\ddqn\avg-q-value-per-step_old.json                                              | JSON     |      5,002 |          0 |          0 |      5,002 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\ddqn\episode-rewards.json                                                       | JSON     |      5,232 |          0 |          0 |      5,232 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\ddqn\episode-rewards_old.json                                                   | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\ddqn\hyp.yaml                                                                   | YAML     |         18 |          0 |          1 |         19 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\ddqn\opt.yaml                                                                   | YAML     |         30 |          0 |          1 |         31 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\ppo\continuous\NatureCNN3\discounted_rewards.json                               | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\ppo\continuous\NatureCNN3\episode_rewards.json                                  | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\ppo\continuous\NatureCNN3\hyp.yaml                                              | YAML     |         19 |          0 |          1 |         20 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\ppo\continuous\NatureCNN3\opt.yaml                                              | YAML     |         30 |          0 |          1 |         31 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\ppo\continuous\NatureCNN3\run-PPO2_1-tag-episode_reward (1).json                | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\ppo\continuous\NatureCNN3\run-PPO2_1-tag-input_info_discounted_rewards (2).json | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\ppo\discrete\avg-q-value-per-step.json                                          | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\ppo\discrete\episode-rewards.json                                               | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\ppo\discrete\hyp.yaml                                                           | YAML     |         18 |          0 |          1 |         19 |
| h:\Masters\Masters\deep_rl\results\state-of-the-art-study\ppo\discrete\opt.yaml                                                           | YAML     |         30 |          0 |          1 |         31 |
| h:\Masters\Masters\deep_sl\batch_generator.py                                                                                             | Python   |         76 |         17 |         20 |        113 |
| h:\Masters\Masters\deep_sl\cnn.py                                                                                                         | Python   |         98 |         23 |         30 |        151 |
| h:\Masters\Masters\deep_sl\data_manipulation.py                                                                                           | Python   |         37 |          3 |         11 |         51 |
| h:\Masters\Masters\deep_sl\load_and_run.py                                                                                                | Python   |         96 |         68 |         40 |        204 |
| h:\Masters\Masters\deep_sl\main.py                                                                                                        | Python   |         77 |         21 |         24 |        122 |
| h:\Masters\Masters\deep_sl\remote_control.py                                                                                              | Python   |         47 |          6 |         15 |         68 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN2\hyp.yaml                                             | YAML     |         13 |          0 |          1 |         14 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN2\mean_squared_error.json                              | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN2\opt.yaml                                             | YAML     |         30 |          0 |          1 |         31 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN3\hyp.yaml                                             | YAML     |         13 |          0 |          1 |         14 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN3\mean_squared_error.json                              | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN3\opt.yaml                                             | YAML     |         30 |          0 |          1 |         31 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN4\hyp.yaml                                             | YAML     |         13 |          0 |          1 |         14 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN4\mean_squared_error.json                              | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN4\opt.yaml                                             | YAML     |         30 |          0 |          1 |         31 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN5\hyp.yaml                                             | YAML     |         13 |          0 |          1 |         14 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN5\mean_squared_error.json                              | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN5\opt.yaml                                             | YAML     |         30 |          0 |          1 |         31 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN6\hyp.yaml                                             | YAML     |         13 |          0 |          1 |         14 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN6\mean_squared_error.json                              | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN6\opt.yaml                                             | YAML     |         30 |          0 |          1 |         31 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN\hyp.yaml                                              | YAML     |         13 |          0 |          1 |         14 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN\mean_squared_error.json                               | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN\opt.yaml                                              | YAML     |         30 |          0 |          1 |         31 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN2\hyp.yaml                                               | YAML     |          9 |          0 |          1 |         10 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN2\opt.yaml                                               | YAML     |         29 |          0 |          1 |         30 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN2\run-.-tag-acc (1).json                                 | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN2\run-.-tag-loss (1).json                                | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN2\val_acc.json                                           | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN2\val_loss.json                                          | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN3\hyp.yaml                                               | YAML     |          9 |          0 |          1 |         10 |
